Problem;Phrase_DE;Phrase_PL
Ból zęba;Ich habe starke Zahnschmerzen.;Mam silny ból zęba.
Ból zęba;Der Schmerz kommt und geht.;Ból pojawia się i znika.
Ból zęba;Ich kann nicht auf dieser Seite kauen.;Nie mogę gryźć po tej stronie.
Ból zęba;Der Schmerz wird nachts schlimmer.;Ból nasila się w nocy.
Ból zęba;Ich brauche dringend Hilfe.;Potrzebuję pilnej pomocy.
Próchnica;Ich glaube, ich habe ein Loch im Zahn.;Chyba mam dziurę w zębie.
Próchnica;Mein Zahn ist empfindlich auf Süßes.;Ząb reaguje na słodycze.
Próchnica;Ich möchte den Zahn kontrollieren lassen.;Chciałbym sprawdzić ten ząb.
Próchnica;Es schmerzt beim Trinken von Kaltem.;Boli przy piciu zimnych napojów.
Próchnica;Ich denke, ich brauche eine Füllung.;Myślę, że potrzebuję plomby.
Kamień nazębny;Ich möchte den Zahnstein entfernen lassen.;Chciałbym usunąć kamień nazębny.
Kamień nazębny;Meine Zähne fühlen sich rau an.;Moje zęby są szorstkie w dotyku.
Kamień nazębny;Ich war lange nicht zur Zahnreinigung.;Dawno nie byłem na czyszczeniu zębów.
Kamień nazębny;Mein Zahnfleisch blutet manchmal.;Moje dziąsła czasem krwawią.
Kamień nazębny;Gibt es eine schmerzfreie Methode?;Czy jest bezbolesna metoda?
Krwawiące dziąsła;Mein Zahnfleisch blutet beim Zähneputzen.;Dziąsła krwawią przy myciu zębów.
Krwawiące dziąsła;Ich habe empfindliches Zahnfleisch.;Mam wrażliwe dziąsła.
Krwawiące dziąsła;Ist das ein Zeichen für Parodontitis?;Czy to oznaka paradontozy?
Krwawiące dziąsła;Ich benutze Zahnseide und es blutet immer.;Używam nici dentystycznej i zawsze krwawi.
Krwawiące dziąsła;Ich brauche eine Zahnfleischuntersuchung.;Potrzebuję badania dziąseł.
Wybielanie zębów;Ich interessiere mich für Zahnaufhellung.;Interesuje mnie wybielanie zębów.
Wybielanie zębów;Welche Methode empfehlen Sie?;Jaką metodę Pan/Pani poleca?
Wybielanie zębów;Ist das Bleaching sicher für meine Zähne?;Czy wybielanie jest bezpieczne dla moich zębów?
Wybielanie zębów;Wie lange hält das Ergebnis an?;Jak długo utrzymuje się efekt?
Wybielanie zębów;Gibt es Nebenwirkungen beim Bleaching?;Czy są skutki uboczne wybielania?
Ból gardła;Ich habe starke Halsschmerzen.;Mam silny ból gardła.
Ból gardła;Es tut weh beim Schlucken.;Boli przy przełykaniu.
Ból gardła;Mein Hals ist sehr trocken.;Gardło jest bardzo suche.
Ból gardła;Ich habe seit ein paar Tagen Halsschmerzen.;Od kilku dni boli mnie gardło.
Ból gardła;Ich brauche etwas gegen Halsschmerzen.;Potrzebuję czegoś na ból gardła.
Przewlekły katar;Ich habe ständig eine verstopfte Nase.;Ciągle mam zatkany nos.
Przewlekły katar;Mein Schnupfen geht seit Wochen nicht weg.;Katar nie ustępuje od tygodni.
Przewlekły katar;Ich habe morgens besonders starke Beschwerden.;Rano objawy są najsilniejsze.
Przewlekły katar;Gibt es etwas gegen chronischen Schnupfen?;Czy jest coś na przewlekły katar?
Przewlekły katar;Ich kann nachts kaum atmen.;W nocy prawie nie mogę oddychać.
Zatkane uszy;Ich habe das Gefühl, mein Ohr ist verstopft.;Mam wrażenie, że moje ucho jest zatkane.
Zatkane uszy;Ich höre auf einem Ohr schlechter.;Gorzej słyszę na jedno ucho.
Zatkane uszy;Ich habe Druck im Ohr.;Czuję ciśnienie w uchu.
Zatkane uszy;Es fühlt sich an, als wäre Wasser im Ohr.;Jakby w uchu było woda.
Zatkane uszy;Können Sie das Ohr reinigen?;Czy może Pan/Pani oczyścić ucho?
Szumy uszne;Ich höre ein ständiges Pfeifen im Ohr.;Słyszę ciągły pisk w uchu.
Szumy uszne;Der Ton im Ohr stört mich beim Einschlafen.;Dźwięk w uchu przeszkadza mi zasypiać.
Szumy uszne;Ich habe ein Rauschen im Ohr, ohne dass es leise wird.;Słyszę szum w uchu, który nie ustępuje.
Szumy uszne;Ich höre Geräusche, die andere nicht hören.;Słyszę dźwięki, których inni nie słyszą.
Szumy uszne;Gibt es eine Behandlung gegen Tinnitus?;Czy jest leczenie na szumy uszne?
Problemy z głosem;Meine Stimme ist heiser.;Mój głos jest zachrypnięty.
Problemy z głosem;Ich verliere manchmal plötzlich die Stimme.;Czasami nagle tracę głos.
Problemy z głosem;Ich habe Schwierigkeiten beim Sprechen.;Mam trudności z mówieniem.
Problemy z głosem;Meine Stimme klingt anders als sonst.;Mój głos brzmi inaczej niż zwykle.
Problemy z głosem;Ich möchte meine Stimmbänder untersuchen lassen.;Chciałbym zbadać struny głosowe.
Problemy ze wzrokiem;Ich sehe in der Ferne unscharf.;Niewyraźnie widzę z daleka.
Problemy ze wzrokiem;Meine Sehkraft hat sich verschlechtert.;Mój wzrok się pogorszył.
Problemy ze wzrokiem;Ich habe Schwierigkeiten beim Lesen.;Mam trudności z czytaniem.
Problemy ze wzrokiem;Ich sehe manchmal doppelt.;Czasami widzę podwójnie.
Problemy ze wzrokiem;Ich brauche einen Sehtest.;Potrzebuję badania wzroku.
Ból oczu;Meine Augen tun weh, besonders abends.;Oczy bolą mnie szczególnie wieczorem.
Ból oczu;Ich habe stechende Schmerzen im Auge.;Mam kłujący ból oka.
Ból oczu;Der Schmerz ist einseitig.;Ból dotyczy tylko jednego oka.
Ból oczu;Ich spüre Druck hinter dem Auge.;Czuję nacisk za okiem.
Ból oczu;Ich brauche dringend eine Untersuchung.;Potrzebuję pilnego badania.
Suche oczy;Meine Augen sind ständig trocken.;Moje oczy są ciągle suche.
Suche oczy;Ich habe ein Fremdkörpergefühl im Auge.;Czuję jakby coś było w oku.
Suche oczy;Die Augen brennen und jucken.;Oczy pieką i swędzą.
Suche oczy;Ich benutze Augentropfen, aber es hilft nicht.;Używam kropli do oczu, ale nie pomaga.
Suche oczy;Trockene Luft macht es schlimmer.;Suche powietrze pogarsza sytuację.
Zapalenie spojówek;Mein Auge ist gerötet und tränt.;Moje oko jest zaczerwienione i łzawi.
Zapalenie spojówek;Ich glaube, ich habe eine Bindehautentzündung.;Chyba mam zapalenie spojówek.
Zapalenie spojówek;Es klebt morgens zusammen.;Rano oko jest sklejone.
Zapalenie spojówek;Ich habe Eiter oder Ausfluss im Auge.;Mam ropę lub wydzielinę w oku.
Zapalenie spojówek;Ist es ansteckend?;Czy to jest zaraźliwe?
Dobór okularów lub soczewek;Ich brauche eine neue Brille.;Potrzebuję nowych okularów.
Dobór okularów lub soczewek;Ich möchte Kontaktlinsen ausprobieren.;Chciałbym spróbować soczewek kontaktowych.
Dobór okularów lub soczewek;Meine Brille ist nicht mehr stark genug.;Moje okulary są za słabe.
Dobór okularów lub soczewek;Können Sie meine Sehstärke überprüfen?;Czy może Pan/Pani sprawdzić moją wadę wzroku?
Dobór okularów lub soczewek;Ich brauche eine Verschreibung für Brillengläser.;Potrzebuję recepty na szkła korekcyjne.
Ból pleców;Ich habe starke Rückenschmerzen.;Mam silny ból pleców.
Ból pleców;Der Schmerz strahlt ins Bein aus.;Ból promieniuje do nogi.
Ból pleców;Ich kann mich nur eingeschränkt bewegen.;Mogę się poruszać tylko ograniczenie.
Ból pleców;Der Schmerz ist seit einigen Tagen konstant.;Ból jest nieustający od kilku dni.
Ból pleców;Ich brauche eine Schmerztherapie.;Potrzebuję terapii przeciwbólowej.
Skręcenie lub złamanie;Ich habe mir den Knöchel verstaucht.;Skręciłem kostkę.
Skręcenie lub złamanie;Ich glaube, mein Arm ist gebrochen.;Myślę, że mam złamaną rękę.
Skręcenie lub złamanie;Der Bereich ist geschwollen und blau.;Miejsce jest spuchnięte i sinawe.
Skręcenie lub złamanie;Ich kann das Bein nicht belasten.;Nie mogę obciążać nogi.
Skręcenie lub złamanie;Brauche ich einen Gips?;Czy potrzebuję gipsu?
Ból kolana;Mein Knie tut beim Gehen weh.;Boli mnie kolano podczas chodzenia.
Ból kolana;Es fühlt sich instabil an.;Czuję, że kolano jest niestabilne.
Ból kolana;Ich habe eine Schwellung am Knie.;Mam obrzęk kolana.
Ból kolana;Schmerzen treten vor allem beim Treppensteigen auf.;Ból pojawia się głównie przy chodzeniu po schodach.
Ból kolana;Ich brauche eine Untersuchung des Knies.;Potrzebuję badania kolana.
Problemy ze stawami;Meine Gelenke sind steif und schmerzen.;Moje stawy są sztywne i bolą.
Problemy ze stawami;Besonders morgens habe ich Gelenkschmerzen.;Szczególnie rano mam bóle stawów.
Problemy ze stawami;Ich habe Schwierigkeiten beim Bewegen der Gelenke.;Mam trudności z poruszaniem stawami.
Problemy ze stawami;Gibt es eine Therapie für meine Gelenkschmerzen?;Czy jest terapia na ból stawów?
Problemy ze stawami;Brauche ich eine Röntgenaufnahme?;Czy potrzebuję zdjęcia rentgenowskiego?
Rehabilitacja ortopedyczna;Ich möchte mit der orthopädischen Reha beginnen.;Chcę rozpocząć rehabilitację ortopedyczną.
Rehabilitacja ortopedyczna;Welche Übungen sind für meine Genesung wichtig?;Jakie ćwiczenia są ważne dla mojego powrotu do zdrowia?
Rehabilitacja ortopedyczna;Wie lange dauert die Rehabilitation?;Jak długo trwa rehabilitacja?
Rehabilitacja ortopedyczna;Ich brauche Unterstützung bei der Mobilisation.;Potrzebuję pomocy przy mobilizacji.
Rehabilitacja ortopedyczna;Gibt es Schmerzmittel während der Reha?;Czy podczas rehabilitacji można stosować leki przeciwbólowe?
Depresja;Ich fühle mich seit Wochen niedergeschlagen.;Czuję się przygnębiony od kilku tygodni.
Depresja;Ich habe keine Freude mehr an meinen Hobbys.;Nie czerpię już radości z moich zainteresowań.
Depresja;Ich bin oft sehr müde und energielos.;Często jestem bardzo zmęczony i bez energii.
Depresja;Ich habe Schwierigkeiten, Entscheidungen zu treffen.;Mam trudności z podejmowaniem decyzji.
Depresja;Ich möchte über meine Gefühle sprechen.;Chcę porozmawiać o moich uczuciach.
Lęki;Ich habe oft unerklärliche Angstgefühle.;Często odczuwam nieuzasadniony lęk.
Lęki;Mein Herz rast und ich fühle mich unruhig.;Serce mi bije szybko i czuję niepokój.
Lęki;Ich habe Panikattacken.;Mam ataki paniki.
Lęki;Ich vermeide Situationen, die Angst auslösen.;Unikam sytuacji wywołujących lęk.
Lęki;Können Sie mir mit meinen Ängsten helfen?;Czy może mi Pan/Pani pomóc z moimi lękami?
Zaburzenia snu;Ich kann schlecht einschlafen.;Mam problemy z zasypianiem.
Zaburzenia snu;Ich wache nachts oft auf und schlafe schlecht weiter.;Często budzę się w nocy i trudno mi ponownie zasnąć.
Zaburzenia snu;Ich fühle mich morgens nicht ausgeruht.;Rano nie czuję się wypoczęty.
Zaburzenia snu;Ich brauche Schlafmittel.;Potrzebuję leków nasennych.
Zaburzenia snu;Gibt es Therapiealternativen ohne Medikamente?;Czy są terapie alternatywne bez leków?
Zaburzenia nastroju;Meine Stimmung schwankt stark.;Moje nastroje gwałtownie się zmieniają.
Zaburzenia nastroju;Ich fühle mich oft reizbar und unruhig.;Często czuję się drażliwy i niespokojny.
Zaburzenia nastroju;Ich habe plötzliche Stimmungseinbrüche.;Mam nagłe załamania nastroju.
Zaburzenia nastroju;Wie kann ich meine Stimmung besser regulieren?;Jak mogę lepiej regulować mój nastrój?
Zaburzenia nastroju;Ich möchte mit einem Therapeuten sprechen.;Chcę porozmawiać z terapeutą.
Problemy z koncentracją;Ich kann mich schlecht konzentrieren.;Mam problemy z koncentracją.
Problemy z koncentracją;Ich verliere schnell den Fokus bei der Arbeit.;Szybko tracę uwagę podczas pracy.
Problemy z koncentracją;Ich vergesse oft wichtige Dinge.;Często zapominam ważne rzeczy.
Problemy z koncentracją;Ich brauche Tipps, um mich besser zu fokussieren.;Potrzebuję wskazówek, jak lepiej się skupić.
Problemy z koncentracją;Können Medikamente bei Konzentrationsproblemen helfen?;Czy leki mogą pomóc przy problemach z koncentracją?
